,0
0,75.3
1,58.3
2,75.5
3,72.5
4,81.5
5,80.4
6,70.6
7,72.2
8,68.4
9,75.3
10,70.1
11,79.4
12,70.7
13,63.2
14,67.6
15,70.9
16,61.2
17,73.9
18,73.2
19,59.4
20,57.4
21,66.2
22,56.6
23,80.7
24,54.8
25,78.9
26,75.1
27,62.6
28,58.6
29,79.7
30,55.9
31,76.5
32,77.8
33,78.7
34,61.0
35,74.0
36,70.1
37,74.1
38,56.7
39,60.4
40,74.0
41,65.7
42,79.4
43,81.0
44,57.5
45,62.2
46,72.1
47,80.0
48,62.7
49,79.5
50,70.8
51,58.3
52,51.3
53,63.0
54,61.7
55,70.9
56,73.8
57,82.0
58,64.4
59,69.5
60,76.9
61,79.4
62,80.9
63,81.4
64,75.5
65,82.6
66,66.1
67,61.5
68,72.3
69,77.6
70,45.2
71,61.0
72,72.0
73,80.7
74,63.4
75,51.4
76,74.5
77,78.2
78,55.8
79,81.4
80,63.6
81,72.1
82,75.7
83,69.6
84,63.2
85,73.3
86,55.0
87,60.8
88,68.6
89,80.3
90,80.2
91,75.2
92,59.7
93,58.0
94,80.7
95,74.6
96,64.1
97,77.1
98,58.2
99,73.6
100,76.8
101,69.4
102,75.3
103,79.2
104,80.4
105,73.4
106,67.6
107,62.2
108,64.3
109,76.4
110,55.9
111,80.9
112,74.8
113,78.5
114,56.7
115,55.0
116,81.1
117,74.3
118,67.4
119,69.1
120,46.1
121,81.1
122,81.9
123,69.5
124,59.7
125,74.1
126,60.0
127,71.3
128,76.5
129,75.1
130,57.2
131,68.2
132,79.5
133,78.2
134,76.0
135,68.7
136,75.4
137,52.0
138,49.0
