,mpg,cyl,displ,hp,weight,accel,yr,origin,name
0,18.0,8,307.0,130,3504,12.0,1970-01-01,US,chevrolet chevelle malibu
1,15.0,8,350.0,165,3693,11.5,1970-01-01,US,buick skylark 320
2,18.0,8,318.0,150,3436,11.0,1970-01-01,US,plymouth satellite
3,16.0,8,304.0,150,3433,12.0,1970-01-01,US,amc rebel sst
4,17.0,8,302.0,140,3449,10.5,1970-01-01,US,ford torino
5,15.0,8,429.0,198,4341,10.0,1970-01-01,US,ford galaxie 500
6,14.0,8,454.0,220,4354,9.0,1970-01-01,US,chevrolet impala
7,14.0,8,440.0,215,4312,8.5,1970-01-01,US,plymouth fury iii
8,14.0,8,455.0,225,4425,10.0,1970-01-01,US,pontiac catalina
9,15.0,8,390.0,190,3850,8.5,1970-01-01,US,amc ambassador dpl
10,15.0,8,383.0,170,3563,10.0,1970-01-01,US,dodge challenger se
11,14.0,8,340.0,160,3609,8.0,1970-01-01,US,plymouth 'cuda 340
12,15.0,8,400.0,150,3761,9.5,1970-01-01,US,chevrolet monte carlo
13,14.0,8,455.0,225,3086,10.0,1970-01-01,US,buick estate wagon (sw)
14,24.0,4,113.0,95,2372,15.0,1970-01-01,Asia,toyota corona mark ii
15,22.0,6,198.0,95,2833,15.5,1970-01-01,US,plymouth duster
16,18.0,6,199.0,97,2774,15.5,1970-01-01,US,amc hornet
17,21.0,6,200.0,85,2587,16.0,1970-01-01,US,ford maverick
18,27.0,4,97.0,88,2130,14.5,1970-01-01,Asia,datsun pl510
19,26.0,4,97.0,46,1835,20.5,1970-01-01,Europe,volkswagen 1131 deluxe sedan
20,25.0,4,110.0,87,2672,17.5,1970-01-01,Europe,peugeot 504
21,24.0,4,107.0,90,2430,14.5,1970-01-01,Europe,audi 100 ls
22,25.0,4,104.0,95,2375,17.5,1970-01-01,Europe,saab 99e
23,26.0,4,121.0,113,2234,12.5,1970-01-01,Europe,bmw 2002
24,21.0,6,199.0,90,2648,15.0,1970-01-01,US,amc gremlin
25,10.0,8,360.0,215,4615,14.0,1970-01-01,US,ford f250
26,10.0,8,307.0,200,4376,15.0,1970-01-01,US,chevy c20
27,11.0,8,318.0,210,4382,13.5,1970-01-01,US,dodge d200
28,9.0,8,304.0,193,4732,18.5,1970-01-01,US,hi 1200d
29,27.0,4,97.0,88,2130,14.5,1971-01-01,Asia,datsun pl510
30,28.0,4,140.0,90,2264,15.5,1971-01-01,US,chevrolet vega 2300
31,25.0,4,113.0,95,2228,14.0,1971-01-01,Asia,toyota corona
32,19.0,6,232.0,100,2634,13.0,1971-01-01,US,amc gremlin
33,16.0,6,225.0,105,3439,15.5,1971-01-01,US,plymouth satellite custom
34,17.0,6,250.0,100,3329,15.5,1971-01-01,US,chevrolet chevelle malibu
35,19.0,6,250.0,88,3302,15.5,1971-01-01,US,ford torino 500
36,18.0,6,232.0,100,3288,15.5,1971-01-01,US,amc matador
37,14.0,8,350.0,165,4209,12.0,1971-01-01,US,chevrolet impala
38,14.0,8,400.0,175,4464,11.5,1971-01-01,US,pontiac catalina brougham
39,14.0,8,351.0,153,4154,13.5,1971-01-01,US,ford galaxie 500
40,14.0,8,318.0,150,4096,13.0,1971-01-01,US,plymouth fury iii
41,12.0,8,383.0,180,4955,11.5,1971-01-01,US,dodge monaco (sw)
42,13.0,8,400.0,170,4746,12.0,1971-01-01,US,ford country squire (sw)
43,13.0,8,400.0,175,5140,12.0,1971-01-01,US,pontiac safari (sw)
44,18.0,6,258.0,110,2962,13.5,1971-01-01,US,amc hornet sportabout (sw)
45,22.0,4,140.0,72,2408,19.0,1971-01-01,US,chevrolet vega (sw)
46,19.0,6,250.0,100,3282,15.0,1971-01-01,US,pontiac firebird
47,18.0,6,250.0,88,3139,14.5,1971-01-01,US,ford mustang
48,23.0,4,122.0,86,2220,14.0,1971-01-01,US,mercury capri 2000
49,28.0,4,116.0,90,2123,14.0,1971-01-01,Europe,opel 1900
50,30.0,4,79.0,70,2074,19.5,1971-01-01,Europe,peugeot 304
51,30.0,4,88.0,76,2065,14.5,1971-01-01,Europe,fiat 124b
52,31.0,4,71.0,65,1773,19.0,1971-01-01,Asia,toyota corolla 1200
53,35.0,4,72.0,69,1613,18.0,1971-01-01,Asia,datsun 1200
54,27.0,4,97.0,60,1834,19.0,1971-01-01,Europe,volkswagen model 111
55,26.0,4,91.0,70,1955,20.5,1971-01-01,US,plymouth cricket
56,24.0,4,113.0,95,2278,15.5,1972-01-01,Asia,toyota corona hardtop
57,25.0,4,97.5,80,2126,17.0,1972-01-01,US,dodge colt hardtop
58,23.0,4,97.0,54,2254,23.5,1972-01-01,Europe,volkswagen type 3
59,20.0,4,140.0,90,2408,19.5,1972-01-01,US,chevrolet vega
60,21.0,4,122.0,86,2226,16.5,1972-01-01,US,ford pinto runabout
61,13.0,8,350.0,165,4274,12.0,1972-01-01,US,chevrolet impala
62,14.0,8,400.0,175,4385,12.0,1972-01-01,US,pontiac catalina
63,15.0,8,318.0,150,4135,13.5,1972-01-01,US,plymouth fury iii
64,14.0,8,351.0,153,4129,13.0,1972-01-01,US,ford galaxie 500
65,17.0,8,304.0,150,3672,11.5,1972-01-01,US,amc ambassador sst
66,11.0,8,429.0,208,4633,11.0,1972-01-01,US,mercury marquis
67,13.0,8,350.0,155,4502,13.5,1972-01-01,US,buick lesabre custom
68,12.0,8,350.0,160,4456,13.5,1972-01-01,US,oldsmobile delta 88 royale
69,13.0,8,400.0,190,4422,12.5,1972-01-01,US,chrysler newport royal
70,19.0,3,70.0,97,2330,13.5,1972-01-01,Asia,mazda rx2 coupe
71,15.0,8,304.0,150,3892,12.5,1972-01-01,US,amc matador (sw)
72,13.0,8,307.0,130,4098,14.0,1972-01-01,US,chevrolet chevelle concours (sw)
73,13.0,8,302.0,140,4294,16.0,1972-01-01,US,ford gran torino (sw)
74,14.0,8,318.0,150,4077,14.0,1972-01-01,US,plymouth satellite custom (sw)
75,18.0,4,121.0,112,2933,14.5,1972-01-01,Europe,volvo 145e (sw)
76,22.0,4,121.0,76,2511,18.0,1972-01-01,Europe,volkswagen 411 (sw)
77,21.0,4,120.0,87,2979,19.5,1972-01-01,Europe,peugeot 504 (sw)
78,26.0,4,96.0,69,2189,18.0,1972-01-01,Europe,renault 12 (sw)
79,22.0,4,122.0,86,2395,16.0,1972-01-01,US,ford pinto (sw)
80,28.0,4,97.0,92,2288,17.0,1972-01-01,Asia,datsun 510 (sw)
81,23.0,4,120.0,97,2506,14.5,1972-01-01,Asia,toyouta corona mark ii (sw)
82,28.0,4,98.0,80,2164,15.0,1972-01-01,US,dodge colt (sw)
83,27.0,4,97.0,88,2100,16.5,1972-01-01,Asia,toyota corolla 1600 (sw)
84,13.0,8,350.0,175,4100,13.0,1973-01-01,US,buick century 350
85,14.0,8,304.0,150,3672,11.5,1973-01-01,US,amc matador
86,13.0,8,350.0,145,3988,13.0,1973-01-01,US,chevrolet malibu
87,14.0,8,302.0,137,4042,14.5,1973-01-01,US,ford gran torino
88,15.0,8,318.0,150,3777,12.5,1973-01-01,US,dodge coronet custom
89,12.0,8,429.0,198,4952,11.5,1973-01-01,US,mercury marquis brougham
90,13.0,8,400.0,150,4464,12.0,1973-01-01,US,chevrolet caprice classic
91,13.0,8,351.0,158,4363,13.0,1973-01-01,US,ford ltd
92,14.0,8,318.0,150,4237,14.5,1973-01-01,US,plymouth fury gran sedan
93,13.0,8,440.0,215,4735,11.0,1973-01-01,US,chrysler new yorker brougham
94,12.0,8,455.0,225,4951,11.0,1973-01-01,US,buick electra 225 custom
95,13.0,8,360.0,175,3821,11.0,1973-01-01,US,amc ambassador brougham
96,18.0,6,225.0,105,3121,16.5,1973-01-01,US,plymouth valiant
97,16.0,6,250.0,100,3278,18.0,1973-01-01,US,chevrolet nova custom
98,18.0,6,232.0,100,2945,16.0,1973-01-01,US,amc hornet
99,18.0,6,250.0,88,3021,16.5,1973-01-01,US,ford maverick
100,23.0,6,198.0,95,2904,16.0,1973-01-01,US,plymouth duster
101,26.0,4,97.0,46,1950,21.0,1973-01-01,Europe,volkswagen super beetle
102,11.0,8,400.0,150,4997,14.0,1973-01-01,US,chevrolet impala
103,12.0,8,400.0,167,4906,12.5,1973-01-01,US,ford country
104,13.0,8,360.0,170,4654,13.0,1973-01-01,US,plymouth custom suburb
105,12.0,8,350.0,180,4499,12.5,1973-01-01,US,oldsmobile vista cruiser
106,18.0,6,232.0,100,2789,15.0,1973-01-01,US,amc gremlin
107,20.0,4,97.0,88,2279,19.0,1973-01-01,Asia,toyota carina
108,21.0,4,140.0,72,2401,19.5,1973-01-01,US,chevrolet vega
109,22.0,4,108.0,94,2379,16.5,1973-01-01,Asia,datsun 610
110,18.0,3,70.0,90,2124,13.5,1973-01-01,Asia,maxda rx3
111,19.0,4,122.0,85,2310,18.5,1973-01-01,US,ford pinto
112,21.0,6,155.0,107,2472,14.0,1973-01-01,US,mercury capri v6
113,26.0,4,98.0,90,2265,15.5,1973-01-01,Europe,fiat 124 sport coupe
114,15.0,8,350.0,145,4082,13.0,1973-01-01,US,chevrolet monte carlo s
115,16.0,8,400.0,230,4278,9.5,1973-01-01,US,pontiac grand prix
116,29.0,4,68.0,49,1867,19.5,1973-01-01,Europe,fiat 128
117,24.0,4,116.0,75,2158,15.5,1973-01-01,Europe,opel manta
118,20.0,4,114.0,91,2582,14.0,1973-01-01,Europe,audi 100ls
119,19.0,4,121.0,112,2868,15.5,1973-01-01,Europe,volvo 144ea
120,15.0,8,318.0,150,3399,11.0,1973-01-01,US,dodge dart custom
121,24.0,4,121.0,110,2660,14.0,1973-01-01,Europe,saab 99le
122,20.0,6,156.0,122,2807,13.5,1973-01-01,Asia,toyota mark ii
123,11.0,8,350.0,180,3664,11.0,1973-01-01,US,oldsmobile omega
124,20.0,6,198.0,95,3102,16.5,1974-01-01,US,plymouth duster
125,19.0,6,232.0,100,2901,16.0,1974-01-01,US,amc hornet
126,15.0,6,250.0,100,3336,17.0,1974-01-01,US,chevrolet nova
127,31.0,4,79.0,67,1950,19.0,1974-01-01,Asia,datsun b210
128,26.0,4,122.0,80,2451,16.5,1974-01-01,US,ford pinto
129,32.0,4,71.0,65,1836,21.0,1974-01-01,Asia,toyota corolla 1200
130,25.0,4,140.0,75,2542,17.0,1974-01-01,US,chevrolet vega
131,16.0,6,250.0,100,3781,17.0,1974-01-01,US,chevrolet chevelle malibu classic
132,16.0,6,258.0,110,3632,18.0,1974-01-01,US,amc matador
133,18.0,6,225.0,105,3613,16.5,1974-01-01,US,plymouth satellite sebring
134,16.0,8,302.0,140,4141,14.0,1974-01-01,US,ford gran torino
135,13.0,8,350.0,150,4699,14.5,1974-01-01,US,buick century luxus (sw)
136,14.0,8,318.0,150,4457,13.5,1974-01-01,US,dodge coronet custom (sw)
137,14.0,8,302.0,140,4638,16.0,1974-01-01,US,ford gran torino (sw)
138,14.0,8,304.0,150,4257,15.5,1974-01-01,US,amc matador (sw)
139,29.0,4,98.0,83,2219,16.5,1974-01-01,Europe,audi fox
140,26.0,4,79.0,67,1963,15.5,1974-01-01,Europe,volkswagen dasher
141,26.0,4,97.0,78,2300,14.5,1974-01-01,Europe,opel manta
142,31.0,4,76.0,52,1649,16.5,1974-01-01,Asia,toyota corona
143,32.0,4,83.0,61,2003,19.0,1974-01-01,Asia,datsun 710
144,28.0,4,90.0,75,2125,14.5,1974-01-01,US,dodge colt
145,24.0,4,90.0,75,2108,15.5,1974-01-01,Europe,fiat 128
146,26.0,4,116.0,75,2246,14.0,1974-01-01,Europe,fiat 124 tc
147,24.0,4,120.0,97,2489,15.0,1974-01-01,Asia,honda civic
148,26.0,4,108.0,93,2391,15.5,1974-01-01,Asia,subaru
149,31.0,4,79.0,67,2000,16.0,1974-01-01,Europe,fiat x1.9
150,19.0,6,225.0,95,3264,16.0,1975-01-01,US,plymouth valiant custom
151,18.0,6,250.0,105,3459,16.0,1975-01-01,US,chevrolet nova
152,15.0,6,250.0,72,3432,21.0,1975-01-01,US,mercury monarch
153,15.0,6,250.0,72,3158,19.5,1975-01-01,US,ford maverick
154,16.0,8,400.0,170,4668,11.5,1975-01-01,US,pontiac catalina
155,15.0,8,350.0,145,4440,14.0,1975-01-01,US,chevrolet bel air
156,16.0,8,318.0,150,4498,14.5,1975-01-01,US,plymouth grand fury
157,14.0,8,351.0,148,4657,13.5,1975-01-01,US,ford ltd
158,17.0,6,231.0,110,3907,21.0,1975-01-01,US,buick century
159,16.0,6,250.0,105,3897,18.5,1975-01-01,US,chevroelt chevelle malibu
160,15.0,6,258.0,110,3730,19.0,1975-01-01,US,amc matador
161,18.0,6,225.0,95,3785,19.0,1975-01-01,US,plymouth fury
162,21.0,6,231.0,110,3039,15.0,1975-01-01,US,buick skyhawk
163,20.0,8,262.0,110,3221,13.5,1975-01-01,US,chevrolet monza 2+2
164,13.0,8,302.0,129,3169,12.0,1975-01-01,US,ford mustang ii
165,29.0,4,97.0,75,2171,16.0,1975-01-01,Asia,toyota corolla
166,23.0,4,140.0,83,2639,17.0,1975-01-01,US,ford pinto
167,20.0,6,232.0,100,2914,16.0,1975-01-01,US,amc gremlin
168,23.0,4,140.0,78,2592,18.5,1975-01-01,US,pontiac astro
169,24.0,4,134.0,96,2702,13.5,1975-01-01,Asia,toyota corona
170,25.0,4,90.0,71,2223,16.5,1975-01-01,Europe,volkswagen dasher
171,24.0,4,119.0,97,2545,17.0,1975-01-01,Asia,datsun 710
172,18.0,6,171.0,97,2984,14.5,1975-01-01,US,ford pinto
173,29.0,4,90.0,70,1937,14.0,1975-01-01,Europe,volkswagen rabbit
174,19.0,6,232.0,90,3211,17.0,1975-01-01,US,amc pacer
175,23.0,4,115.0,95,2694,15.0,1975-01-01,Europe,audi 100ls
176,23.0,4,120.0,88,2957,17.0,1975-01-01,Europe,peugeot 504
177,22.0,4,121.0,98,2945,14.5,1975-01-01,Europe,volvo 244dl
178,25.0,4,121.0,115,2671,13.5,1975-01-01,Europe,saab 99le
179,33.0,4,91.0,53,1795,17.5,1975-01-01,Asia,honda civic cvcc
180,28.0,4,107.0,86,2464,15.5,1976-01-01,Europe,fiat 131
181,25.0,4,116.0,81,2220,16.9,1976-01-01,Europe,opel 1900
182,25.0,4,140.0,92,2572,14.9,1976-01-01,US,capri ii
183,26.0,4,98.0,79,2255,17.7,1976-01-01,US,dodge colt
184,27.0,4,101.0,83,2202,15.3,1976-01-01,Europe,renault 12tl
185,17.5,8,305.0,140,4215,13.0,1976-01-01,US,chevrolet chevelle malibu classic
186,16.0,8,318.0,150,4190,13.0,1976-01-01,US,dodge coronet brougham
187,15.5,8,304.0,120,3962,13.9,1976-01-01,US,amc matador
188,14.5,8,351.0,152,4215,12.8,1976-01-01,US,ford gran torino
189,22.0,6,225.0,100,3233,15.4,1976-01-01,US,plymouth valiant
190,22.0,6,250.0,105,3353,14.5,1976-01-01,US,chevrolet nova
191,24.0,6,200.0,81,3012,17.6,1976-01-01,US,ford maverick
192,22.5,6,232.0,90,3085,17.6,1976-01-01,US,amc hornet
193,29.0,4,85.0,52,2035,22.2,1976-01-01,US,chevrolet chevette
194,24.5,4,98.0,60,2164,22.1,1976-01-01,US,chevrolet woody
195,29.0,4,90.0,70,1937,14.2,1976-01-01,Europe,vw rabbit
196,33.0,4,91.0,53,1795,17.4,1976-01-01,Asia,honda civic
197,20.0,6,225.0,100,3651,17.7,1976-01-01,US,dodge aspen se
198,18.0,6,250.0,78,3574,21.0,1976-01-01,US,ford granada ghia
199,18.5,6,250.0,110,3645,16.2,1976-01-01,US,pontiac ventura sj
200,17.5,6,258.0,95,3193,17.8,1976-01-01,US,amc pacer d/l
201,29.5,4,97.0,71,1825,12.2,1976-01-01,Europe,volkswagen rabbit
202,32.0,4,85.0,70,1990,17.0,1976-01-01,Asia,datsun b-210
203,28.0,4,97.0,75,2155,16.4,1976-01-01,Asia,toyota corolla
204,26.5,4,140.0,72,2565,13.6,1976-01-01,US,ford pinto
205,20.0,4,130.0,102,3150,15.7,1976-01-01,Europe,volvo 245
206,13.0,8,318.0,150,3940,13.2,1976-01-01,US,plymouth volare premier v8
207,19.0,4,120.0,88,3270,21.9,1976-01-01,Europe,peugeot 504
208,19.0,6,156.0,108,2930,15.5,1976-01-01,Asia,toyota mark ii
209,16.5,6,168.0,120,3820,16.7,1976-01-01,Europe,mercedes-benz 280s
210,16.5,8,350.0,180,4380,12.1,1976-01-01,US,cadillac seville
211,13.0,8,350.0,145,4055,12.0,1976-01-01,US,chevy c10
212,13.0,8,302.0,130,3870,15.0,1976-01-01,US,ford f108
213,13.0,8,318.0,150,3755,14.0,1976-01-01,US,dodge d100
214,31.5,4,98.0,68,2045,18.5,1977-01-01,Asia,honda accord cvcc
215,30.0,4,111.0,80,2155,14.8,1977-01-01,US,buick opel isuzu deluxe
216,36.0,4,79.0,58,1825,18.6,1977-01-01,Europe,renault 5 gtl
217,25.5,4,122.0,96,2300,15.5,1977-01-01,US,plymouth arrow gs
218,33.5,4,85.0,70,1945,16.8,1977-01-01,Asia,datsun f-10 hatchback
219,17.5,8,305.0,145,3880,12.5,1977-01-01,US,chevrolet caprice classic
220,17.0,8,260.0,110,4060,19.0,1977-01-01,US,oldsmobile cutlass supreme
221,15.5,8,318.0,145,4140,13.7,1977-01-01,US,dodge monaco brougham
222,15.0,8,302.0,130,4295,14.9,1977-01-01,US,mercury cougar brougham
223,17.5,6,250.0,110,3520,16.4,1977-01-01,US,chevrolet concours
224,20.5,6,231.0,105,3425,16.9,1977-01-01,US,buick skylark
225,19.0,6,225.0,100,3630,17.7,1977-01-01,US,plymouth volare custom
226,18.5,6,250.0,98,3525,19.0,1977-01-01,US,ford granada
227,16.0,8,400.0,180,4220,11.1,1977-01-01,US,pontiac grand prix lj
228,15.5,8,350.0,170,4165,11.4,1977-01-01,US,chevrolet monte carlo landau
229,15.5,8,400.0,190,4325,12.2,1977-01-01,US,chrysler cordoba
230,16.0,8,351.0,149,4335,14.5,1977-01-01,US,ford thunderbird
231,29.0,4,97.0,78,1940,14.5,1977-01-01,Europe,volkswagen rabbit custom
232,24.5,4,151.0,88,2740,16.0,1977-01-01,US,pontiac sunbird coupe
233,26.0,4,97.0,75,2265,18.2,1977-01-01,Asia,toyota corolla liftback
234,25.5,4,140.0,89,2755,15.8,1977-01-01,US,ford mustang ii 2+2
235,30.5,4,98.0,63,2051,17.0,1977-01-01,US,chevrolet chevette
236,33.5,4,98.0,83,2075,15.9,1977-01-01,US,dodge colt m/m
237,30.0,4,97.0,67,1985,16.4,1977-01-01,Asia,subaru dl
238,30.5,4,97.0,78,2190,14.1,1977-01-01,Europe,volkswagen dasher
239,22.0,6,146.0,97,2815,14.5,1977-01-01,Asia,datsun 810
240,21.5,4,121.0,110,2600,12.8,1977-01-01,Europe,bmw 320i
241,21.5,3,80.0,110,2720,13.5,1977-01-01,Asia,mazda rx-4
242,43.1,4,90.0,48,1985,21.5,1978-01-01,Europe,volkswagen rabbit custom diesel
243,36.1,4,98.0,66,1800,14.4,1978-01-01,US,ford fiesta
244,32.8,4,78.0,52,1985,19.4,1978-01-01,Asia,mazda glc deluxe
245,39.4,4,85.0,70,2070,18.6,1978-01-01,Asia,datsun b210 gx
246,36.1,4,91.0,60,1800,16.4,1978-01-01,Asia,honda civic cvcc
247,19.9,8,260.0,110,3365,15.5,1978-01-01,US,oldsmobile cutlass salon brougham
248,19.4,8,318.0,140,3735,13.2,1978-01-01,US,dodge diplomat
249,20.2,8,302.0,139,3570,12.8,1978-01-01,US,mercury monarch ghia
250,19.2,6,231.0,105,3535,19.2,1978-01-01,US,pontiac phoenix lj
251,20.5,6,200.0,95,3155,18.2,1978-01-01,US,chevrolet malibu
252,20.2,6,200.0,85,2965,15.8,1978-01-01,US,ford fairmont (auto)
253,25.1,4,140.0,88,2720,15.4,1978-01-01,US,ford fairmont (man)
254,20.5,6,225.0,100,3430,17.2,1978-01-01,US,plymouth volare
255,19.4,6,232.0,90,3210,17.2,1978-01-01,US,amc concord
256,20.6,6,231.0,105,3380,15.8,1978-01-01,US,buick century special
257,20.8,6,200.0,85,3070,16.7,1978-01-01,US,mercury zephyr
258,18.6,6,225.0,110,3620,18.7,1978-01-01,US,dodge aspen
259,18.1,6,258.0,120,3410,15.1,1978-01-01,US,amc concord d/l
260,19.2,8,305.0,145,3425,13.2,1978-01-01,US,chevrolet monte carlo landau
261,17.7,6,231.0,165,3445,13.4,1978-01-01,US,buick regal sport coupe (turbo)
262,18.1,8,302.0,139,3205,11.2,1978-01-01,US,ford futura
263,17.5,8,318.0,140,4080,13.7,1978-01-01,US,dodge magnum xe
